Time, File, Conversion, Render, Resize, Total, Status
3/12/2019 4:37:24 PM, 100SlidePowerPointPres.ppt, 2546, 2, 22, 2570, Ok
3/12/2019 4:37:24 PM, 131814.xls, 379, 1, 7, 387, Ok
3/12/2019 4:37:25 PM, 1excel 2003.xls, 59, 1, 22, 82, Ok
3/12/2019 4:37:25 PM, 1PPT 2003.ppt, 199, 2, 22, 223, Ok
3/12/2019 4:37:25 PM, 1PPTX 2003.pot, 181, 2, 22, 205, Ok
3/12/2019 4:37:25 PM, 1Read only excel 2003.xls, 27, 1, 22, 50, Ok
3/12/2019 4:37:26 PM, 1Read Only Word 2003.doc, 682, 2, 2, 686, Ok
3/12/2019 4:37:26 PM, 1Template excel 2003.xlt, 0, 0, 0, 0, Error
3/12/2019 4:37:26 PM, 1Word 2003 template.dot, 69, 2, 2, 73, Ok
3/12/2019 4:37:26 PM, 1Word 2003.doc, 48, 1, 2, 51, Ok
3/12/2019 4:37:26 PM, 2003PowerPointPres.PPT, 135, 1, 22, 158, Ok
3/12/2019 4:37:26 PM, 2016 32bit file_colors.docx, 64, 1, 2, 67, Ok
3/12/2019 4:37:28 PM, 2016 32bit file_colors_111.odt, 1335, 2, 3, 1340, Ok
3/12/2019 4:37:28 PM, 2018.05.25.00.03.04(1).xlsx, 109, 1, 16, 126, Ok
3/12/2019 4:37:28 PM, 2018.05.25.00.03.04.xlsx, 55, 2, 15, 72, Ok
3/12/2019 4:37:28 PM, 29 pages.docx, 483, 2, 2, 487, Ok
3/12/2019 4:37:29 PM, 3 - PrepareForMigration.ppsx, 253, 2, 24, 279, Ok
3/12/2019 4:37:36 PM, 3_original.xls, 7197, 0, 20, 7217, Ok
3/12/2019 4:37:43 PM, 479 Pages.doc, 7520, 0, 2, 7522, Ok
3/12/2019 4:37:43 PM, 4_original.xlsx, 4, 0, 21, 25, Ok
3/12/2019 4:37:44 PM, 5_original_2007template.xltx, 144, 0, 8, 152, Ok
3/12/2019 4:37:57 PM, 719 Pages.doc, 13488, 0, 2, 13490, Ok
3/12/2019 4:37:57 PM, all keyboard chars.DOC, 19, 0, 2, 21, Ok
3/12/2019 4:39:02 PM, Big document.doc, 65314, 0, 20, 65334, Ok
3/12/2019 4:39:03 PM, Binary2016.xlsx, 39, 0, 24, 63, Ok
3/12/2019 4:39:03 PM, Buddy Requirement.DOC, 271, 0, 2, 273, Ok
3/12/2019 4:39:03 PM, Calorie amortization schedule1.xlsx, 413, 0, 52, 465, Ok
3/12/2019 4:39:03 PM, ClaimsAdmin.pptx, 142, 0, 24, 166, Ok
3/12/2019 4:39:04 PM, ClaimsAdmin2016.pptx, 63, 0, 24, 87, Ok
3/12/2019 4:39:04 PM, ColoredFonts.xlsx, 4, 0, 20, 24, Ok
3/12/2019 4:39:04 PM, ColoredFonts.zip, 0, 0, 0, 0, Error
3/12/2019 4:39:04 PM, created by pam - readonly - final.docx, 33, 0, 3, 36, Ok
3/12/2019 4:39:04 PM, DOC 2013.doc, 62, 0, 2, 64, Ok
3/12/2019 4:39:04 PM, DOCM 2013.docm, 137, 0, 3, 140, Ok
3/12/2019 4:39:22 PM, Document less 5mb-2013.dotm, 17876, 0, 19, 17895, Ok
3/12/2019 4:39:22 PM, Document Preview-2013.xlsx, 93, 0, 29, 122, Ok
3/12/2019 4:39:22 PM, DOCX 2013.docx, 111, 0, 2, 113, Ok
3/12/2019 4:39:24 PM, DOT 2013.dot, 1482, 0, 2, 1484, Ok
3/12/2019 4:39:24 PM, DOTM 2013.dotm, 751, 0, 2, 753, Ok
3/12/2019 4:39:24 PM, DOTX 2013.dotx, 80, 0, 2, 82, Ok
3/12/2019 4:39:24 PM, EmptyDoc 2003.doc, 14, 0, 2, 16, Ok
3/12/2019 4:39:24 PM, Emptyexcel2003.xls, 24, 0, 7, 31, Ok
3/12/2019 4:39:24 PM, emptyexceltemplate2003.xlt, 0, 0, 0, 0, Error
3/12/2019 4:39:24 PM, emptyppt.ppt, 9, 0, 22, 31, Ok
3/12/2019 4:39:46 PM, Entire_Gutenberg_Twain_Texts.rtf, 21383, 0, 2, 21385, Ok
3/12/2019 4:39:46 PM, excel 2003.xls, 41, 0, 23, 64, Ok
3/12/2019 4:39:46 PM, Excel 2007 read only.xlsx, 62, 0, 8, 70, Ok
3/12/2019 4:39:46 PM, Excel 2007 template.xltm, 51, 0, 8, 59, Ok
